"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season"
"224","PTI","PONTI","UNKNOWN","SOP",NA,2015-11-15,"EK","WEEK ESTIMATE",2016-09-20,"EK","MONTH ESTIMATE",2021-11-01,"MONTH ESTIMATE","INGRID BERGMAN","ING","ERJ","SOPHIA LOREN",2000-11-01,NA,310,5492,1868,9,1
"225","SKD","SQUIDKID",NA,"SPO","H",2002-04-24,"JM","WEEK ESTIMATE",2002-10-02,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"SPONGEMOM",1972-11-01,2012-05-01,161,10766,NA,10,1
"226","SQD","SQUIDGY","MALE","SQU","A",1995-11-23,"SHOTOVER","DAY ESTIMATE",1996-08-06,"JM","DAY ESTIMATE",1997-10-08,"DAY ESTIMATE","RHOMBUS","RHO","MRH","SQUARE",1968-11-01,2003-05-01,257,9883,428,8,0
"227","HNL","HENLEY",NA,"STV",NA,2018-11-01,"VF","MONTH ESTIMATE",2020-03-10,"VF","MONTH ESTIMATE",2021-11-01,"MONTH ESTIMATE","LANDSLIDE","LDS","VF","STEVIE NICKS",1999-11-01,NA,495,6940,601,3,0
"228","SHD","SHADOW","MALE","SUR","A",1992-12-16,"DIC","DAY ESTIMATE",1993-03-08,"DIC","DAY ESTIMATE",1994-10-25,"DAY ESTIMATE","SHOCK","SHC","DIC","SURPRISE",1979-11-01,2019-03-25,82,4794,596,3,0
"229","SYO","SAYONARA","UNKNOWN","SUR","A",2014-12-09,"JM","DAY ESTIMATE",2015-01-06,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"SURPRISE",1979-11-01,2019-03-25,28,12822,NA,1,1
"230","BAT","BATBABY",NA,"TAB","D",1988-11-01,"JM","MONTH ESTIMATE",1989-12-08,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"TAB",1966-11-01,2002-05-01,402,8036,NA,12,1
"231","KWO","KWONDO",NA,"TAI",NA,2005-01-01,"JM","MONTH ESTIMATE",2006-01-03,"JM","MONTH ESTIMATE",2007-10-01,"MONTH ESTIMATE","JITSU","JIT","JM","TAI",1984-11-01,2014-05-01,367,7366,636,1,1
"232","TNI","TRINITY",NA,"TAL","H",2008-02-24,"JM","DAY ESTIMATE",2010-01-02,"SAS","MONTH ESTIMATE",2015-11-17,"DAY ESTIMATE","DAYTONA","DYT","JM","TALLADEGA",1992-11-01,NA,678,5593,2145,1,1
"233","DYT","DAYTONA","UNKNOWN","TAL","H",2015-11-17,"JM","DAY ESTIMATE",2016-03-11,"JM","MONTH ESTIMATE",2021-11-01,"MONTH ESTIMATE","CHITTY CHITTY BANG BANG","CCB","JM","TALLADEGA",1992-11-01,NA,115,8416,2061,3,0
"234","TIT","TITTERS",NA,"TAT","E",1992-10-01,"AFR","WEEK ESTIMATE",1992-12-12,"JM","MONTH ESTIMATE",1994-11-01,"MONTH ESTIMATE","FETUS","FET","RCC","TATTERS",1978-11-01,1994-06-04,72,5083,689,12,1
"235","FET","FETUS","FEMALE","TAT","E",1994-11-01,"RCC","MONTH ESTIMATE",1994-06-04,"RCC","DAY ESTIMATE",NA,NA,NA,NA,NA,"TATTERS",1978-11-01,1994-06-04,-150,5844,NA,6,0
"236","TOP","TOPLESS",NA,"TIP",NA,1992-11-01,"JM","MONTH ESTIMATE",1994-05-26,"JM","WEEK ESTIMATE",NA,NA,NA,NA,NA,"TIPLESS",1980-11-01,1998-05-01,571,4383,NA,5,0
"237","MOR","MORRIS","UNKNOWN","TRE","A",1988-12-20,"RCC","WEEK ESTIMATE",1990-06-03,"JM","DAY ESTIMATE",1994-11-01,"MONTH ESTIMATE","ROOTS","ROO","RCC","TREETRUNX",1970-11-01,2003-05-01,530,6624,1612,6,0
"238","STM","STUMPY",NA,"TRE","A",1998-11-01,"MRH","MONTH ESTIMATE",2000-03-05,"JM","MONTH ESTIMATE",2001-05-15,"WEEK ESTIMATE","LOGGY","LOG","JM","TREETRUNX",1970-11-01,2003-05-01,490,10227,436,3,0
"239","LOG","LOGGY",NA,"TRE","A",2001-05-15,"JM","WEEK ESTIMATE",2002-05-01,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"TREETRUNX",1970-11-01,2003-05-01,351,11153,NA,5,0
